0.7841,0.6586,3.3580,131.0000
0.3052,2.7642,0.3017,117.8000
0.8285,3.4744,1.5183,111.0000
0.8962,0.4573,2.6679,161.8000
0.8585,0.5871,1.8406,194.2000
0.7947,1.5009,3.5415,92.6000
0.4377,3.8281,0.4156,136.2000
0.8291,3.2725,3.2741,69.0000
0.8206,1.3050,1.8532,143.0000
0.7027,4.1494,0.8645,118.6000
0.8055,0.5594,3.5809,147.4000
0.8347,0.9462,3.1435,121.0000
0.7654,0.6584,3.5253,111.0000
0.7956,1.6990,4.5957,87.8000
0.6374,0.6733,3.2020,108.6000
0.5495,1.1955,1.3119,134.2000
0.8638,2.1421,2.4074,112.2000
0.6747,3.3140,1.2187,102.2000
0.8479,4.5433,2.1937,81.8000
0.9743,1.0180,1.9660,147.4000
0.8462,3.8866,0.9632,128.6000
0.8944,3.2423,1.4487,102.2000
0.8269,3.7579,1.4394,110.6000
0.3677,0.3940,1.5822,156.6000
0.8109,1.1640,1.5424,149.4000
0.6862,0.1601,2.5706,297.4000
0.7624,2.2609,0.8598,163.4000
0.7981,0.3597,1.6543,250.6000
0.9125,2.5176,1.4033,119.8000
0.9379,1.6482,1.5982,147.0000
0.7762,1.7196,1.7432,122.6000
0.9780,2.4687,1.3012,135.0000
0.7112,1.7152,0.6841,237.4000
0.9448,1.7847,1.9939,120.2000
0.9646,0.8067,2.4982,125.0000
0.6767,3.8310,0.5848,187.8000
0.9112,1.3397,3.3940,98.2000
0.9613,0.5738,1.5802,226.2000
0.7863,3.2665,1.5892,109.8000
0.9715,4.1453,2.6319,89.0000
0.5741,2.0826,0.6802,164.6000
0.8797,2.7788,1.4295,117.4000
0.9368,1.0533,2.6267,139.0000
0.9795,2.0146,1.7323,119.0000
0.5746,1.4849,2.7512,83.0000
0.6580,1.5503,1.4265,111.8000
0.8516,1.8185,1.5211,129.4000
0.8968,3.5758,1.2615,116.6000
0.8505,1.2309,1.4089,143.0000
0.5444,1.6468,0.8580,131.8000
0.9318,4.2324,2.8992,69.0000
0.9532,0.4397,4.2354,125.0000
0.6480,0.7688,1.8317,157.0000
0.2064,0.1914,0.7442,171.0000
0.4175,1.6483,0.7628,119.4000
0.9278,4.9965,2.2419,85.4000
0.7563,4.1867,1.1447,103.0000
0.7528,1.9309,4.1903,86.2000
0.9943,3.2984,3.4278,89.0000
0.7001,0.2878,3.1330,193.4000
0.7219,1.0769,3.1138,108.2000
0.7784,3.3588,1.5764,105.0000
0.9370,1.8619,3.7837,85.0000
0.8781,1.3910,4.4725,87.0000
0.9280,1.1143,2.6833,119.8000
0.9053,2.6581,2.3405,89.0000
0.9679,1.0227,2.3217,147.0000
0.8701,0.4308,4.5443,150.6000
0.8502,1.6005,4.6379,91.4000
0.7670,3.0467,0.7237,186.2000
0.8686,0.3246,2.5966,198.2000
0.9687,2.5257,4.2779,89.0000
0.7470,1.2403,3.2726,106.6000
0.5077,1.6472,1.2533,110.2000
0.5296,0.3037,0.8899,445.8000
0.9966,1.6600,2.4362,115.0000
0.6598,1.6503,2.6556,84.6000
0.7312,2.6460,1.1531,125.4000
0.9299,2.7421,3.6353,89.4000
0.9278,3.5993,2.0481,86.2000
0.4087,0.6312,3.3179,82.6000
0.2963,0.5615,0.7352,153.8000
0.6153,2.1283,3.2854,69.0000
0.7787,4.3535,1.8443,89.4000
0.5570,3.5487,0.7451,120.6000
0.8496,3.8039,1.8535,89.4000
0.7799,2.8486,2.1248,81.0000
0.9789,0.9944,3.9313,114.2000
0.5853,3.3026,0.6064,145.4000
0.7923,3.8285,1.7340,79.8000
0.4497,0.7106,1.0903,157.8000
0.4639,2.1454,0.9711,107.4000
0.7053,1.6022,1.6457,124.6000
0.6951,0.1793,2.8069,252.2000
0.9982,1.9084,1.3387,153.4000
0.9381,1.5497,3.9992,108.2000
0.7732,4.3991,0.8969,127.4000
0.8509,3.3302,3.3923,69.0000
0.8424,3.6186,1.8038,90.6000
0.6945,1.5479,4.3251,89.0000
0.7971,0.9225,1.1265,193.0000
0.6874,3.7538,2.0075,73.0000
0.7150,0.9660,3.1200,117.0000
0.9228,4.4709,1.7468,85.8000
0.8489,2.1439,1.7679,114.6000
0.4039,1.0573,1.2049,113.8000
0.8749,1.3111,4.4720,89.0000
0.4515,0.2006,3.1001,175.0000
0.7111,3.7437,2.1061,73.0000
0.7782,4.0691,1.2451,111.8000
0.8541,3.0119,2.3876,87.8000
0.4916,2.6241,0.5322,153.4000
0.6382,1.5878,1.2074,133.0000
0.9495,4.5065,1.0667,109.4000
0.8595,2.4880,4.4093,68.6000
0.6391,3.8725,1.8018,73.0000
0.6843,0.5341,0.9148,310.6000
0.5585,1.4185,1.3869,119.4000
0.5392,3.1201,0.8823,105.4000
0.6761,4.9094,1.3480,91.0000
0.7180,1.9788,2.9027,79.0000
0.8077,3.8056,2.4127,85.8000
0.4801,2.1231,0.6050,145.0000
0.5576,0.4680,1.1672,227.4000
0.8002,0.5538,0.9033,438.2000
0.5403,1.8953,1.5338,99.8000
0.2756,0.5001,1.3151,69.8000
0.8499,2.8957,2.0038,107.4000
0.8779,0.8325,2.2460,107.4000
